genome	count
D300423:bin_000011	405
D300423:bin_000014	811
D300431:bin_000017	386
D300432:bin_000002	2816
D300433:bin_000005	3675
D300433:bin_000009	1461
D300442:bin_000011	285
D300444:bin_000010	661
D300444:bin_000011	719
D300446:bin_000001	634
D300449:bin_000011	1197
D300451:bin_000001	480
D300457:bin_000005	1327
D300459:bin_000001	594
D300472:bin_000003	223
D300476:bin_000013	328
D300477:bin_000001	861
D300479:bin_000012	589
D300491:bin_000007	301
D300492:bin_000002	249
D300492:bin_000003	803
D300495:bin_000003	219
D300498:bin_000001	349
D300508:bin_000006	536
D300513:bin_000002	310
D300514:bin_000001	389
D300514:bin_000005	297
D300519:bin_000004	810
D300522:bin_000007	220
D300525:bin_000012	508
TG2_35:bin_000003	1556
TG2_35:bin_000021	270
TG5_21:bin_000003	246
TG5_21:bin_000004	487
