	D300423:bin_000011	D300423:bin_000014	D300431:bin_000017	D300432:bin_000002	D300433:bin_000005	D300433:bin_000009	D300442:bin_000011	D300444:bin_000010	D300444:bin_000011	D300446:bin_000001	D300449:bin_000011	D300451:bin_000001	D300457:bin_000005	D300459:bin_000001	D300472:bin_000003	D300476:bin_000013	D300477:bin_000001	D300479:bin_000012	D300491:bin_000007	D300492:bin_000002	D300492:bin_000003	D300495:bin_000003	D300498:bin_000001	D300508:bin_000006	D300513:bin_000002	D300514:bin_000001	D300514:bin_000005	D300519:bin_000004	D300522:bin_000007	D300525:bin_000012	TG2_35:bin_000003	TG2_35:bin_000021	TG5_21:bin_000003	TG5_21:bin_000004
D300423:bin_000011	0.0	0.224300500188258	0.254414075492153	0.247078172527549	0.220052813979229	0.209154419028294	0.250312124736395	0.231532523440377	0.249324704020246	0.250310403710248	0.174562134075603	0.476674752805481	0.217688673673498	0.295662065737709	0.273100487572694	0.218569891456923	0.23596551102594	0.204776824407079	0.207748637387999	0.232416167479448	0.214304281164431	0.267030329698255	0.254116484346603	0.206864982060313	0.244459458048238	0.260908443704959	0.233175402476366	0.249049325201522	0.249110481481576	0.215047728867096	0.202403949401541	0.236447199556111	0.223392466081396	0.278987012395389
D300423:bin_000014	0.224300500188258	0.0	0.153843018835935	0.273720845298738	0.205369410550516	0.245422268852414	0.246117353854276	0.262410302342512	0.183426835633941	0.166806861846416	0.162521572438668	0.498161762800465	0.220798447089649	0.295139400054261	0.244187604788327	0.172520047386727	0.21886751433737	0.273555201334579	0.258127712851553	0.235752215802725	0.222838206890702	0.193470064652354	0.226071601985651	0.164011132288788	0.196432832405288	0.211128920505075	0.222760808390352	0.239580357593048	0.231798459640719	0.227165547250699	0.185351597571674	0.228360591971553	0.170905190704492	0.237591860107476
D300431:bin_000017	0.254414075492153	0.153843018835935	0.0	0.297512858410075	0.251253068694941	0.263540523098503	0.257827640089243	0.252498645354497	0.185060094586548	0.240852551133777	0.179058196755272	0.518927716221513	0.242234616846068	0.277738369349412	0.265642275932349	0.154578838254228	0.240946053764558	0.286823832342568	0.266139030570446	0.257897605417299	0.244892102081006	0.265104032951528	0.290998366870037	0.216460523346826	0.264344168357722	0.273491147875525	0.234721479813162	0.263446376254801	0.286937990482552	0.271484279770973	0.236827831254723	0.242088398547504	0.222214934312282	0.274933056074193
D300432:bin_000002	0.247078172527549	0.273720845298738	0.297512858410075	0.0	0.151949941507066	0.157376590630721	0.218759220555587	0.210829815892457	0.272599483203864	0.257002565035465	0.242751398834388	0.379776814642706	0.203655258729183	0.306454996007566	0.217551666618504	0.264681550073164	0.193756481737902	0.277371775802899	0.285148890971608	0.180616383633129	0.204630212593844	0.224153120006504	0.13696366411687	0.218069533461517	0.176514717330337	0.171768902404669	0.199917698632006	0.206930755245015	0.149988771122508	0.218411182932306	0.199565947611255	0.196502779087767	0.190416656676036	0.213650957398646
D300433:bin_000005	0.220052813979229	0.205369410550516	0.251253068694941	0.151949941507066	0.0	0.152406207347154	0.190152301240228	0.183495366415037	0.224598748131517	0.242659188561821	0.208509529010268	0.409615413555247	0.184945468250181	0.316990926868197	0.16170118034308	0.205333297270321	0.176736304867454	0.281091791825694	0.207816203818087	0.148431415849162	0.18042197602352	0.18736746016258	0.118565384852216	0.163543975694135	0.161475338836353	0.116898562848566	0.16077868661543	0.167166963119135	0.148528330823227	0.190836608079691	0.16702620544671	0.194666775701669	0.1833205405934	0.176523875378541
D300433:bin_000009	0.209154419028294	0.245422268852414	0.263540523098503	0.157376590630721	0.152406207347154	0.0	0.168416256120131	0.130616345829112	0.215601143164159	0.245083539668597	0.202190022910276	0.406311091226737	0.105652719825642	0.30691962708801	0.184422760820415	0.206254638604889	0.15480267082561	0.251746812042891	0.210913080734764	0.140584404548988	0.135600993514687	0.183399812260867	0.119750987979572	0.177356181853514	0.16441221219917	0.156331404369084	0.17288056291507	0.132133214652855	0.121183468000762	0.168771792823797	0.177876624795462	0.131608457960592	0.144129754381749	0.169883753728216
D300442:bin_000011	0.250312124736395	0.246117353854276	0.257827640089243	0.218759220555587	0.190152301240228	0.168416256120131	0.0	0.184029753980374	0.229174378999138	0.264331459309527	0.257796227216621	0.428065978717263	0.17604136546501	0.288118815150161	0.187429289737847	0.192877519829938	0.179560585852832	0.260252506876706	0.178883468172779	0.0885920094992901	0.213357104297823	0.194057692807449	0.183998264759586	0.222825257637683	0.197251851304773	0.16701881088643	0.170872750042369	0.136817314410181	0.198149420903707	0.263044700226984	0.217832839353844	0.177224941190462	0.180330840884366	0.147783899666925
D300444:bin_000010	0.231532523440377	0.262410302342512	0.252498645354497	0.210829815892457	0.183495366415037	0.130616345829112	0.184029753980374	0.0	0.238601818611643	0.219943913584227	0.220753008388155	0.374516089538119	0.125867174401799	0.313269362705767	0.184815049629661	0.18349036977679	0.183611035284975	0.263912150497527	0.181707260796966	0.139463690994168	0.13538991617595	0.221286190904629	0.138263314896154	0.226364962670806	0.197250780250504	0.159382738377865	0.187977343450085	0.140799735140589	0.166551586879519	0.203069327440481	0.224048526180129	0.130877286059207	0.180219442718182	0.178361148920442
D300444:bin_000011	0.249324704020246	0.183426835633941	0.185060094586548	0.272599483203864	0.224598748131517	0.215601143164159	0.229174378999138	0.238601818611643	0.0	0.226681317806342	0.207853369423351	0.446109292276677	0.208479634074845	0.305076462652717	0.232177725680144	0.151322188449848	0.200609899323268	0.229481334144297	0.233905513789528	0.218043331865935	0.226787237513092	0.258294257026034	0.249772934926237	0.1784521004928	0.231188758223515	0.253202274758113	0.224712732347486	0.229901075876424	0.246563622368539	0.247909540802665	0.190289019676395	0.208673536267397	0.224988825598377	0.228135172488655
D300446:bin_000001	0.250310403710248	0.166806861846416	0.240852551133777	0.257002565035465	0.242659188561821	0.245083539668597	0.264331459309527	0.219943913584227	0.226681317806342	0.0	0.224984633086798	0.450102632668768	0.236310308315631	0.253777698681936	0.282855411065814	0.185855583257203	0.230680955368506	0.262169298284903	0.227143107964785	0.233401868315434	0.250800777691259	0.229584679440479	0.229620073072013	0.197789136667785	0.196476372687199	0.210661870499597	0.236608721434701	0.230722068155787	0.208396576117152	0.236180376103819	0.228332523513072	0.221487803183107	0.210955446436833	0.253139099009076
