	D300423:bin_000011	D300423:bin_000014	D300431:bin_000017	D300432:bin_000002	D300433:bin_000005	D300433:bin_000009	D300442:bin_000011	D300444:bin_000010	D300444:bin_000011	D300446:bin_000001	D300449:bin_000011	D300451:bin_000001	D300457:bin_000005	D300459:bin_000001	D300472:bin_000003	D300476:bin_000013	D300477:bin_000001	D300479:bin_000012	D300491:bin_000007	D300492:bin_000002	D300492:bin_000003	D300495:bin_000003	D300498:bin_000001	D300508:bin_000006	D300513:bin_000002	D300514:bin_000001	D300514:bin_000005	D300519:bin_000004	D300522:bin_000007	D300525:bin_000012	TG2_35:bin_000003	TG2_35:bin_000021	TG5_21:bin_000003	TG5_21:bin_000004
D300423:bin_000011	0.0	0.17751152299927464	0.1856047421418929	0.13614067551729814	0.27192512754279136	0.2527825840897474	0.2016497532076253	0.21512520046525244	0.2997251099704633	0.22049301083368664	0.2285697791306303	0.1597081832487806	0.26483941434189595	0.205182343150767	0.1365528112572263	0.1719317951529139	0.24413637837457014	0.24122900411749965	0.19960542712565477	0.11423738875557589	0.177684657378605	0.22099854635138486	0.23072312571651063	0.22164399380649294	0.2440262053005724	0.22233699507597227	0.19862190074946384	0.21238067769251848	0.23516950014244892	0.14832840226193997	0.17703111442179334	0.16547332657564515	0.1874146887731506	0.13228033469259012
D300423:bin_000014	0.17751152299927464	0.0	0.19464409636765018	0.28007409216566115	0.24187544127450838	0.19317291674127074	0.2259959544197551	0.2223595605772995	0.1995101936193455	0.27916535949876176	0.16830841216656928	0.11131408656307136	0.18875404038932472	0.1809488939002734	0.18424233145184618	0.2024082536937222	0.1834448446582522	0.1554632585034557	0.27386819521708083	0.1399131455205827	0.20307250368611163	0.25835262299369616	0.16847336473738383	0.23374064153948104	0.09113408693229424	0.16869531095706614	0.1750386695996301	0.2120817941922321	0.18001357355348255	0.13767373030912625	0.17782474563895978	0.12942490926119157	0.21649366407183188	0.19805051125983053
D300431:bin_000017	0.1856047421418929	0.19464409636765018	0.0	0.2314591116449624	0.2174215984299691	0.23468566930803225	0.21570254507616854	0.2572437011778436	0.17022303838521582	0.16923668634525701	0.19209020796259546	0.2202754379933679	0.16505405452306723	0.11444616543472715	0.16298709988230656	0.1126836855259011	0.16534955021749845	0.2217581786583911	0.17241560701808312	0.18303757664075307	0.2005991904924534	0.1992636147215937	0.26247860480979385	0.18179882931961788	0.21098722907551884	0.22559317628117787	0.24268743843826998	0.2086950281496694	0.22360801897949142	0.23360450189935258	0.25065652111223435	0.20307839463467187	0.1376386249958762	0.17576477118550027
D300432:bin_000002	0.13614067551729814	0.28007409216566115	0.2314591116449624	0.0	0.20164303880308276	0.2931417301270145	0.18749784491395355	0.19786578267591912	0.11369437297167172	0.14247495948425296	0.20073341452538368	0.1936940613684855	0.18433270302884303	0.2389472850724209	0.21127394599001276	0.24518599473677816	0.1881179556923758	0.1993478849241431	0.23736828353161787	0.21441030885963086	0.1864194802629233	0.1839013701230642	0.2394482236394874	0.33728481184548664	0.13465807315372746	0.21908265123290985	0.2086650330832887	0.21015597148273046	0.20178338637760276	0.22981370621469557	0.16498931663762342	0.23375916774991673	0.19253266262105953	0.23165648003263595
D300433:bin_000005	0.27192512754279136	0.24187544127450838	0.2174215984299691	0.20164303880308276	0.0	0.1839678918854966	0.15057718673025777	0.17576022660527338	0.20575461395589598	0.14745364033389557	0.21850564312924242	0.17574635442330971	0.18486011205027147	0.19056377468469546	0.12808876972547106	0.13868831143624022	0.17803911227006614	0.2113173590648074	0.1684958304299537	0.25649590846771136	0.2042235127822925	0.19342045178342984	0.20278956030003248	0.19454942463758693	0.17976554398895092	0.15484237023934416	0.19776681617475297	0.21521636401488126	0.1607324194190008	0.21303427848284598	0.17804655668755376	0.29448504338819737	0.21681472151926517	0.19579769369222724
D300433:bin_000009	0.2527825840897474	0.19317291674127074	0.23468566930803225	0.2931417301270145	0.1839678918854966	0.0	0.16379434060895542	0.15929631874535538	0.1716137414806022	0.17872098697634387	0.1696184215590186	0.1657622499592003	0.19553887985542542	0.24486632674201592	0.25946486633545923	0.1770424265347435	0.21092796593311958	0.2142493163575088	0.23184543485237835	0.22750121060486903	0.24138510150250592	0.14908973924200458	0.16962131838431013	0.21109004560122457	0.24668770551815558	0.2010687031582205	0.2007484649047462	0.18052564627581236	0.1893278861595806	0.1960097928264451	0.1840557855030901	0.24279751844246086	0.16333731824653563	0.23708472300877442
D300442:bin_000011	0.2016497532076253	0.2259959544197551	0.21570254507616854	0.18749784491395355	0.15057718673025777	0.16379434060895542	0.0	0.18185163964737097	0.14916287270670406	0.18157897825590388	0.16974194768935272	0.23012616166893463	0.2362046347332408	0.15196188628328494	0.16193187699628553	0.20326357365735856	0.2627625332285509	0.20243525007485894	0.2074068350883752	0.15567299241714483	0.15485563678604164	0.21982643383773245	0.138960574481271	0.19109468957034875	0.19223041264548774	0.10481966114360097	0.15224785595135185	0.1521400985009236	0.2022213037100281	0.2661588279332466	0.07729483386713902	0.17715028533850427	0.11287712503123815	0.16503984597171203
D300444:bin_000010	0.21512520046525244	0.2223595605772995	0.2572437011778436	0.19786578267591912	0.17576022660527338	0.15929631874535538	0.18185163964737097	0.0	0.13780895870292345	0.20606745987546085	0.22690789048625512	0.24556841524307402	0.16862618043763067	0.2129988072405331	0.22250902084491284	0.19497074762970237	0.16466399789037414	0.26931054959900796	0.24007467682730066	0.2525572834420018	0.2333590930385906	0.18799086858007036	0.24477253170440436	0.2156707421344057	0.18616108647072221	0.20010086663884452	0.20328087574806394	0.20673195563682886	0.18322686556716647	0.17620970210055595	0.21683959457696966	0.22779631681339843	0.15287872058190297	0.15273380151217797
D300444:bin_000011	0.2997251099704633	0.1995101936193455	0.17022303838521582	0.11369437297167172	0.20575461395589598	0.1716137414806022	0.14916287270670406	0.13780895870292345	0.0	0.23843707953755816	0.07216822924725358	0.21684005643614981	0.19839376461342867	0.15896824131660958	0.14460544172636938	0.21919995875424025	0.1276583786308419	0.1400489517569333	0.21647339299322632	0.19701425962152846	0.1999958740457825	0.2283129694991521	0.23629552365578282	0.1851639817513988	0.16419055012487582	0.13717005248422276	0.10654884369715469	0.23420886105936575	0.2136049948849257	0.19727462537715387	0.16816510060185846	0.12067610898656116	0.2043807783886267	0.17512938987255028
D300446:bin_000001	0.22049301083368664	0.27916535949876176	0.16923668634525701	0.14247495948425296	0.14745364033389557	0.17872098697634387	0.18157897825590388	0.20606745987546085	0.23843707953755816	0.0	0.12894743960592359	0.15148188108925792	0.24454307194543673	0.21242786807123687	0.2151668187975845	0.19381321480039487	0.17233276595570235	0.22845102295123884	0.15610712614400357	0.19182734959316086	0.17377511821714853	0.24418724363076527	0.20268948447226987	0.2681111575002849	0.23314285178788785	0.15543370345635893	0.21988366152040897	0.20824364833096834	0.17414086987063895	0.20863790209934568	0.2101461448580615	0.2276544004201538	0.2266968794766996	0.28234527183677716
D300449:bin_000011	0.2285697791306303	0.16830841216656928	0.19209020796259546	0.20073341452538368	0.21850564312924242	0.1696184215590186	0.16974194768935272	0.22690789048625512	0.07216822924725358	0.12894743960592359	0.0	0.18970579940779578	0.22981017103632048	0.2733636863951674	0.17976472239648555	0.22267138737401748	0.18335356844854406	0.09849054775971858	0.15938122550978565	0.2033000543135665	0.18896431322612933	0.15693402738029263	0.15676199675370728	0.20980695731644533	0.2598915063047181	0.1853435532455439	0.21353781532612207	0.22118815260091684	0.23506496744920452	0.17809690684076004	0.18322682654702957	0.26856925227945405	0.1514105110323246	0.22667351725931023
