	D300423:bin_000011	D300423:bin_000014	D300431:bin_000017	D300432:bin_000002	D300433:bin_000005	D300433:bin_000009	D300442:bin_000011	D300444:bin_000010	D300444:bin_000011	D300446:bin_000001	D300449:bin_000011	D300451:bin_000001	D300457:bin_000005	D300459:bin_000001	D300472:bin_000003	D300476:bin_000013	D300477:bin_000001	D300479:bin_000012	D300491:bin_000007	D300492:bin_000002	D300492:bin_000003	D300495:bin_000003	D300498:bin_000001	D300508:bin_000006	D300513:bin_000002	D300514:bin_000001	D300514:bin_000005	D300519:bin_000004	D300522:bin_000007	D300525:bin_000012	TG2_35:bin_000003	TG2_35:bin_000021	TG5_21:bin_000003	TG5_21:bin_000004
D300423:bin_000011	0.0	0.193756481737902	0.245083539668597	0.202298515653882	0.16701881088643	0.131608457960592	0.400517430993021	0.163543975694135	0.306454996007566	0.224153120006504	0.199565947611255	0.315588133160151	0.157005208636282	0.257002565035465	0.205833785744837	0.185855583257203	0.145438572443932	0.152526379344411	0.217131215321179	0.15333676328963	0.205691718836688	0.178361148920442	0.262169298284903	0.137270365309187	0.185260155160022	0.176514717330337	0.19199050610892	0.226071601985651	0.450892534825508	0.206547955889105	0.156470390699946	0.165331298294412	0.189435667155334	0.313269362705767
D300423:bin_000014	0.193756481737902	0.0	0.197251851304773	0.305076462652717	0.196206327443016	0.197250780250504	0.218043331865935	0.26052448307887	0.263912150497527	0.178861848145279	0.232416167479448	0.175964448483304	0.220308467167576	0.168224277497498	0.247909540802665	0.252498645354497	0.218569891456923	0.279860612550576	0.231798459640719	0.169231954213211	0.155534566506916	0.18563518921527	0.210661870499597	0.30691962708801	0.175120040229908	0.159382738377865	0.459783572854695	0.176736304867454	0.172520047386727	0.142519547048713	0.153870923355869	0.130015980754311	0.299369074682006	0.140584404548988
D300431:bin_000017	0.245083539668597	0.197251851304773	0.0	0.183331918959964	0.287727034126845	0.229901075876424	0.409615413555247	0.249624135103268	0.187797017605405	0.119750987979572	0.224988825598377	0.142761771134041	0.269276852878491	0.266139030570446	0.190152301240228	0.273491147875525	0.295662065737709	0.209977069095304	0.148580604240803	0.19559796882797	0.128945235833012	0.218411182932306	0.19366576490232	0.250310403710248	0.174059600087732	0.184029753980374	0.253139099009076	0.334519314831175	0.230906306996174	0.198149420903707	0.261140546174547	0.295139400054261	0.17604136546501	0.123906168032735
D300432:bin_000002	0.202298515653882	0.305076462652717	0.183331918959964	0.0	0.266853575408886	0.170872750042369	0.20343293382027	0.164518430648689	0.171669002465528	0.153843018835935	0.217265977291961	0.195760667787513	0.17126713877485	0.199363916684824	0.230004617856441	0.158711762587062	0.476674752805481	0.224968595162535	0.273034922632454	0.238901150781205	0.194140961128476	0.406311091226737	0.18042197602352	0.260252506876706	0.181520984979466	0.18349036977679	0.222825257637683	0.127013797549996	0.206254638604889	0.147783899666925	0.136817314410181	0.200052391768605	0.211128920505075	0.218186752042476
D300433:bin_000005	0.16701881088643	0.196206327443016	0.287727034126845	0.266853575408886	0.0	0.219943913584227	0.210955446436833	0.201267214836269	0.280162987006082	0.233401868315434	0.264344168357722	0.234330714535261	0.432620452287319	0.290998366870037	0.47026119723721	0.222214934312282	0.195468014125995	0.374516089538119	0.250312124736395	0.199361107337214	0.178705384180346	0.115445664616462	0.176700470759399	0.231188758223515	0.16441221219917	0.229481334144297	0.230911201594357	0.178883468172779	0.471009281430786	0.200664701354476	0.518927716221513	0.190828814048698	0.174562134075603	0.16170118034308
D300433:bin_000009	0.131608457960592	0.197250780250504	0.229901075876424	0.170872750042369	0.219943913584227	0.0	0.199917698632006	0.206930755245015	0.187977343450085	0.227165547250699	0.226364962670806	0.166551586879519	0.164248402401871	0.254116484346603	0.13421353863896	0.203591588138898	0.162521572438668	0.177170816110308	0.238601818611643	0.263284125313775	0.209154419028294	0.21356923248485	0.242659188561821	0.312915173972786	0.232787734566024	0.425413622795631	0.222838206890702	0.204630212593844	0.200045257266234	0.202190022910276	0.273720845298738	0.18599852212522	0.161475338836353	0.203069327440481
D300442:bin_000011	0.400517430993021	0.218043331865935	0.409615413555247	0.20343293382027	0.210955446436833	0.199917698632006	0.0	0.181707260796966	0.172724697705235	0.260908443704959	0.253777698681936	0.173262629407448	0.223392466081396	0.212654247325495	0.140799735140589	0.249049325201522	0.221286190904629	0.242751398834388	0.253202274758113	0.206864982060313	0.184945468250181	0.300092468674065	0.181383300897932	0.272599483203864	0.186110254903776	0.150000635335395	0.226787237513092	0.220753008388155	0.263044700226984	0.224984633086798	0.121183468000762	0.399182548980435	0.15888356163595	0.255485380406339
D300444:bin_000010	0.163543975694135	0.26052448307887	0.249624135103268	0.164518430648689	0.201267214836269	0.206930755245015	0.181707260796966	0.0	0.228360591971553	0.213650957398646	0.190836608079691	0.236827831254723	0.228135172488655	0.216460523346826	0.257897605417299	0.153714871549877	0.147633554983497	0.244457300885137	0.148431415849162	0.240852551133777	0.168706959018923	0.228332523513072	0.206582543700168	0.274933056074193	0.217832839353844	0.239580357593048	0.0879163469410595	0.220798447089649	0.244187604788327	0.229174378999138	0.245422268852414	0.230384795570758	0.180330840884366	0.183436607654986
D300444:bin_000011	0.306454996007566	0.263912150497527	0.187797017605405	0.171669002465528	0.280162987006082	0.187977343450085	0.172724697705235	0.228360591971553	0.0	0.207853369423351	0.228531552665004	0.267030329698255	0.177221826777838	0.197299801211264	0.258347116314695	0.280580914787789	0.210732127687306	0.152406207347154	0.293195426397646	0.45616624308024	0.192066982974075	0.213040705790504	0.286937990482552	0.221198315217254	0.229584679440479	0.295837637372265	0.164011132288788	0.236180376103819	0.173899294846489	0.177224941190462	0.226681317806342	0.230721090954641	0.185060094586548	0.197518181903357
D300446:bin_000001	0.224153120006504	0.178861848145279	0.119750987979572	0.153843018835935	0.233401868315434	0.227165547250699	0.260908443704959	0.213650957398646	0.207853369423351	0.0	0.207748637387999	0.286036731291305	0.288118815150161	0.168717901376567	0.176523875378541	0.190471277667067	0.185594800348949	0.277465951837136	0.157485651911019	0.170050365821498	0.194057692807449	0.125867174401799	0.177876624795462	0.181118945118411	0.222760808390352	0.132133214652855	0.118565384852216	0.203262625643347	0.450102632668768	0.223855031594378	0.216411990831187	0.215721990810564	0.116898562848566	0.243242355851724
